Member Name,Member Type,Equipment Hire,Ski Pass,Total Cost
Pascal,Level 1 (Beginners),,,
Laia,Level 2 (Intermediate),,,
Zahid,Level 3 (Advanced),,,
Preety,Level 1 (Beginners),,,
Baljinder,Level 1 (Beginners),,,
Pierre,Level 2 (Intermediate),,,
Emmanuel,Level 3 (Advanced),,,
Arlo,Level 3 (Advanced),,,
Polly,Level 2 (Intermediate),,,
Johann,Level 3 (Advanced),,,
Shay,Level 2 (Intermediate),,,
Connor,Level 1 (Beginners),,,
Ziggy,Level 1 (Beginners),,,
Luna,Level 3 (Advanced),,,
Aashish,Level 2 (Intermediate),,,
,,,,
Total Cost of Equipment Hire,,,,
