,,,,,,,Payments,,,,,,
Guest ID,Guest Title,Guest Name,Canal ID,Holiday Date,Price Band,Holiday Price,Jan,Feb,Mar,Apr,May,Balance,Notes
101,MR,Jayasinghe,6,02/06/2023,BAND B,,180,200,280,200,180,,
102,MS,Danza,1,06/07/2023,BAND A,,240,240,240,240,240,,
103,DR,Zizzi,12,06/09/2023,BAND B,,240,200,240,200,220,,
104,MR,Fonseca,9,24/06/2023,BAND B,,240,240,240,240,240,,
105,MS,Meredith,16,07/09/2023,BAND D,,120,140,140,140,100,,
106,MR,Rodrigo,2,09/07/2023,BAND C,,180,180,180,180,180,,
107,MR,Perry,18,06/06/2023,BAND D,,120,140,140,140,140,,
108,MR,Gunter,9,02/07/2023,BAND B,,200,180,180,180,200,,
109,DR,Heath,8,30/08/2023,BAND C,,180,180,180,180,180,,
110,MRS,Gerrard,8,21/07/2023,BAND C,,160,160,160,160,160,,
111,MS,Ali,1,05/08/2023,BAND A,,290,290,290,290,290,,
112,MS,Perez,11,04/06/2023,BAND A,,280,280,280,280,280,,
113,MS,Lakmir,13,20/06/2023,BAND D,,120,120,120,120,120,,
114,DR,Bellamy,18,11/10/2023,BAND D,,130,130,120,130,130,,
115,MR,Alwis,1,15/07/2023,BAND A,,280,260,280,260,200,,
116,MS,Peiris,2,14/06/2023,BAND C,,170,180,190,190,170,,
117,MS,Meesham,18,19/09/2023,BAND D,,100,150,180,140,100,,
118,MS,Santana,16,10/09/2023,BAND D,,140,140,140,140,140,,
119,MS,Dias,17,25/09/2023,BAND D,,140,140,140,140,140,,
120,MR,Pike,16,16/09/2023,BAND D,,150,150,150,150,100,,
121,MR,Daza,8,12/07/2023,BAND C,,180,150,150,150,170,,
122,MR,Campi,2,25/08/2023,BAND C,,170,170,170,170,170,,
123,MR,Pathirana,5,10/07/2023,BAND B,,230,230,250,250,240,,
124,DR,Agro,15,19/08/2023,BAND D,,120,130,120,140,150,,
125,DR,Campbell,6,25/07/2023,BAND B,,200,200,200,200,200,,
126,MR,Rizza,7,05/07/2023,BAND A,,280,280,300,250,300,,
127,MS,Templeton,12,07/07/2023,BAND B,,230,200,240,240,250,,
128,MR,Loosemore,13,25/08/2023,BAND D,,140,160,150,140,110,,
129,MS,Senanayake,7,27/07/2023,BAND A,,290,290,290,290,290,,
130,MR,Rafferty,3,16/07/2023,BAND B,,240,230,220,200,240,,
,,,,,,,,,,,,,
Average monthly payment,,,,,,,,,,,,,
Total balance outstanding,,,,,,,,,,,,,
Number of Band A holidays,,,,,,,,,,,,,
Cost of cheapest holiday,,,,,,,,,,,,,
