CLIENT ID,CLIENT NAME,INSURANCE,DEPOSIT PAID
AB11,Abebe,TRUE,£150.00
AD12,Adams,FALSE,£200.00
AD13,Adams,FALSE,£100.00
AH45,Ahamed,FALSE,£75.00
AS32,Ashurst,TRUE,£200.00
BA45,Bankole,FALSE,£150.00
BE45,Bellman,FALSE,£75.00
BR78,Bristow,FALSE,£200.00
CH54,Chan,FALSE,£200.00
CH67,Chuke,TRUE,£150.00
DE4,Desai,TRUE,£150.00
EG98,Egebe,FALSE,£100.00
GA54,Gamage,FALSE,£75.00
GR42,Greenhaugh,FALSE,£200.00
HU21,Hussain,TRUE,£200.00
HU3,Hughes,FALSE,£200.00
HU4,Hughes,FALSE,£200.00
HU6,Hu,TRUE,£100.00
HU78,Huang,FALSE,£75.00
JO67,Davies,FALSE,£200.00
KA67,Kallahah,FALSE,£75.00
KE12,Keita,TRUE,£100.00
KU7,Kumar,FALSE,£200.00
KU8,Kumbhar,FALSE,£150.00
KU9,Kumar,TRUE,£150.00
LI8,Liu,FALSE,£75.00
LO1,Lowry,TRUE,£75.00
MA23,Maddison,FALSE,£150.00
MU2,Munhir,FALSE,£150.00
OL9,Ollie,TRUE,£150.00
PE10,Perera,TRUE,£75.00
PL7,Plough,FALSE,£150.00
PO1,Powell,FALSE,£150.00
RA65,Rathnayake,TRUE,£75.00
RA9,Raymond,TRUE,£75.00
SA21,Sanavan,FALSE,£75.00
TY2,Tyler,FALSE,£100.00
WA8,Walker,TRUE,£200.00
