Car Rental for May 2024,,,,,,,
01/05/24,,,,,,,
CLIENT ID,CLIENT NAME,CAR TYPE,COST PER DAY,NUMBER OF DAYS HIRE,INSURANCE COST,COST OF HIRE,TOTAL COST
AB11,Abebe,Small SUV,,7,,,
AD12,Adams,Large SUV,,7,,,
AD13,Adams,Premium,,3,,,
AH45,Ahamed,Standard,,3,,,
AS32,Ashurst,Large SUV,,5,,,
BA45,Bankole,Small SUV,,5,,,
BE45,Bellman,Standard,,5,,,
BR78,Bristow,Large SUV,,3,,,
CH54,Chan,Large SUV,,3,,,
CH67,Chuke,Small SUV,,3,,,
DE4,Desai,Small SUV,,7,,,
EG98,Egebe,Premium,,7,,,
GA54,Gamage,Standard,,7,,,
GR42,Greenhaugh,Large SUV,,10,,,
HU21,Hussain,Large SUV,,7,,,
HU3,Hughes,Large SUV,,7,,,
HU4,Hughes,Large SUV,,5,,,
HU6,Hu,Premium,,3,,,
HU78,Huang,Standard,,3,,,
JO67,Davies,Large SUV,,5,,,
KA67,Kallahah,Standard,,5,,,
KE12,Keita,Premium,,10,,,
KU7,Kumar,Large SUV,,7,,,
KU8,Kumbhar,Small SUV,,7,,,
KU9,Kumar,Small SUV,,5,,,
LI8,Liu,Premium,,3,,,
LO1,Lowry,Premium,,10,,,
MA23,Maddison,Small SUV,,10,,,
MU2,Munhir,Small SUV,,7,,,
OL9,Ollie,Small SUV,,7,,,
PE10,Perera,Premium,,5,,,
PL7,Plough,Small SUV,,3,,,
PO1,Powell,Small SUV,,10,,,
RA65,Rathnayake,Standard,,7,,,
RA9,Raymond,Standard,,10,,,
SA21,Sanavan,Standard,,5,,,
TY2,Tyler,Premium,,3,,,
WA8,Walker,Large SUV,,10,,,
,,,,,,,
Total income for May including discounts,,,,,,,
Number of Large SUVs hired,,,,,,,
Average cost of car per day,,,,,,,
