CLIENT ID,CLIENT NAME,INITIAL,LOCATION,PAYMENT METHOD,YEAR STARTED
BEL0300,Bellamy,P,Other,Monthly,2022
CHA0582,Chan,F,UK,Weekly,2022
DAV0700,Davis,R,UK,Weekly,2020
FLE0792,Fleurette,Z,Europe,Monthly,2020
GRE0281,Green,L,Other,Monthly,2023
HAR1162,Harrison,B,UK,Monthly,2022
HOL0300,Holloway,J,Other,Per session,2020
HUG1264,Hughes,P,UK,Weekly,2020
LAN0699,Lani,L,Europe,Monthly,2021
MAD0789,Madhe,A,UK,Per session,2021
MAD0996,Madison,A,Other,Monthly,2021
MAR0792,Marke,A,Europe,Per session,2020
MOR0985,Morrie,K,Other,Per session,2021
PAT0198,Patrice,A,Europe,Per session,2022
PAT1297,Patel,A,Other,Weekly,2023
PUG1167,Pugh,I,Other,Weekly,2020
RIZ0860,Rizza,B,Europe,Per session,2021
SAN0870,Santiago,J,Other,Per session,2021
SHI0199,Shirvan,M,Other,Per session,2022
WIL0790,Wilson,C,Other,Monthly,2022
WIL0898,Williams,L,UK,Weekly,2022
WOO0400,Woodward,C,Other,Monthly,2022
