PLAYER_ID,FIRSTNAME,LASTNAME,GENDER,DOB,PHONE,EMAIL,TEAMCODE
123SW,Sammi,WESTON,F,20/02/1988,020 916 2018,samw@cruabad.org.ie,AA
125TS,Tony,SKULLY,M,04/06/1991,020 914 1945,ts@contact.org.ie,DD
126JG,James,GILROY,M,24/10/1990,020 917 8213,jag@cruabad.org.ie,AA
127SS,Sofia,SVENSSON,F,31/05/1992,020 913 9614,sofs@cruabad.org.ie,DD
129CB,Christopher,BANCROFT,M,27/08/2000,020 912 6419,chrib@cruabad.org.ie,FF
130ED,Emma,DONNEGAN-CROSS,F,01/04/2002,020 916 9014,emdo@home.org.ie,AA
131MY,Martha,YO,F,19/01/1991,020 916 2644,my@emailme.org.ie,BB
133AK,Andrew,KELSON,M,15/10/1993,020 916 9502,andke@cruabad.org.ie,FF
134BW,Briony,WARTON,F,21/02/1998,020 917 2000,briwar@home.co.ie,DD
135SR,Simon,RAZWANA,M,25/02/1997,020 918 8440,simora@mailme.org.ie,FF
137AB,Anna,BANCROFT,F,28/06/1986,020 915 1573,anba@mailme.org.ie,FF
138SY,Sara,YO,F,08/03/1991,020 919 4030,sary@home.org.ie,AA
140MH,Mingmei,HULIAN,F,23/06/1985,020 911 7888,minhu@mailme.org.ie,CC
141JS,Julie,STEVENSON,F,15/11/1997,020 911 1817,jst@cruabad.org.ie,FF
143AS,Amarjit,SINGH,M,11/11/1996,020 915 6858,ams@cruabad.org.ie,EE
144PR,Philip,RAZWANA,M,13/01/1985,020 916 8183,pr@cruabad.org.ie,NA
146RC,Rhonda,CASEY,F,04/08/2000,020 913 7594,rhoca@emailme.org.ie,CC
147DH,David,HAWK,M,26/05/1994,020 911 1028,davih@contact.org.ie,CC
148PS,Pierre,STEVENSON,M,23/04/1989,020 917 5920,ps@mailme.org.ie,CC
150IZ,Isaac,ZALIC,M,04/07/1992,020 915 7214,isaaz@cruabad.org.ie,EE
151SC,Sarah,CHUNG,F,18/05/1986,020 914 1977,sarch@contact.org.ie,EE
153MM,Matthew,MURRAY,M,10/01/1999,020 918 3023,matm@emailme.org.ie,BB
154NE,Nicholas,EDWINSON,M,21/12/1988,020 918 5975,ned@home.org.ie,BB
155NP,Noah,PARKER-SMITHSON,M,13/11/1994,020 916 8134,npa@cruabad.org.ie,AA
157BF,Blake,FANFAYNER,M,01/01/2000,020 914 5350,blakfa@emailme.org.ie,DD
158CC,Connor,CARTER,M,04/12/1987,020 911 6258,conc@emailme.org.ie,EE
159CS,Claire,SINGH,F,14/03/1999,020 916 7170,clas@cruabad.org.ie,DD
162SS,Stuart,SPEARS,M,04/09/1991,020 915 9862,sts@contact.org.ie,NA
163EF,Elizabeth,FINCH-WILLIAMS,F,04/09/2000,020 913 2134,elifi@cruabad.org.ie,NA
165EG,Emma,GOLD,F,06/03/1986,020 917 6442,emmgo@contact.org.ie,BB
167JL,Jill,LOCKYER,F,28/09/1994,020 916 9230,jlo@home.org.ie,EE
168FB,Felicity,BRANDWARD,F,14/05/1993,020 912 7046,felbr@cruabad.org.ie,CC
169MD,Matt,DENNIS,M,07/01/1986,020 914 7818,mattde@cruabad.org.ie,BB
